515,830,550,744,700,778,407,63,488,464,
561,200,657,364,751,948,507,463,695,864,
63,819,328,383,922,871,637,745,503,192,
414,776,53,795,355,960,224,454,311,437,
543,204,288,323,282,135,777,465,796,569,
583,953,267,874,211,446,744,36,549,516,
329,124,75,945,278,256,343,100,466,73,
881,547,21,691,881,964,574,954,232,578,
195,708,972,885,245,918,741,415,431,306,
75,414,588,41,357,817,407,620,770,514,
883,977,273,190,673,279,821,818,927,701,
931,696,768,788,403,105,334,729,960,647,
755,126,64,7,655,328,57,462,182,620,
925,677,457,389,355,753,519,926,179,217,
